Transaction ID,Product ID,Quantity Sold,Transaction Date,Product Name,Category,Price,Total Amount
1,10,6,2024-06-27,Salmon,Seafood,8.0,48.0
2,14,2,2024-08-02,Yogurt,Dairy,2.0,4.0
3,17,2,2024-03-15,Cookies,Snacks,2.5,5.0
4,11,2,2023-08-21,Lettuce,Produce,1.25,2.5
5,10,1,2023-10-28,Salmon,Seafood,8.0,8.0
6,20,9,2024-01-09,Pizza,Frozen Foods,6.0,54.0
7,8,6,2024-03-30,Chicken Breast,Meat,5.0,30.0
8,2,4,2024-03-25,Eggs,Dairy,2.5,10.0
9,14,5,2024-08-01,Yogurt,Dairy,2.0,10.0
10,13,4,2023-11-23,Cereal,Snacks,3.75,15.0
11,2,3,2024-01-28,Eggs,Dairy,2.5,7.5
12,14,7,2023-12-11,Yogurt,Dairy,2.0,14.0
13,2,4,2023-08-29,Eggs,Dairy,2.5,10.0
14,9,3,2024-06-27,Ground Beef,Meat,4.5,13.5
15,4,1,2024-05-18,Butter,Dairy,4.0,4.0
16,16,9,2023-11-26,Tea,Beverages,4.0,36.0
17,12,6,2024-04-18,Tomato,Produce,1.0,6.0
18,6,2,2024-05-09,Banana,Produce,0.5,1.0
19,4,5,2023-11-06,Butter,Dairy,4.0,20.0
20,6,5,2024-08-05,Banana,Produce,0.5,2.5
21,15,4,2023-11-27,Coffee,Beverages,5.0,20.0
22,9,3,2023-08-28,Ground Beef,Meat,4.5,13.5
23,4,9,2023-10-28,Butter,Dairy,4.0,36.0
24,5,2,2023-12-12,Apple,Produce,0.75,1.5
25,3,9,2023-09-17,Bread,Bakery,1.5,13.5
26,11,9,2024-06-12,Lettuce,Produce,1.25,11.25
27,10,8,2024-01-20,Salmon,Seafood,8.0,64.0
28,9,4,2023-11-19,Ground Beef,Meat,4.5,18.0
29,1,2,2023-09-01,Milk,Dairy,3.5,7.0
30,11,7,2024-01-30,Lettuce,Produce,1.25,8.75
31,19,3,2023-10-21,Ice Cream,Frozen Foods,4.5,13.5
32,7,2,2023-09-25,Orange Juice,Beverages,3.0,6.0
33,2,9,2024-06-30,Eggs,Dairy,2.5,22.5
34,4,6,2024-06-14,Butter,Dairy,4.0,24.0
35,8,7,2024-03-03,Chicken Breast,Meat,5.0,35.0
36,9,8,2023-11-11,Ground Beef,Meat,4.5,36.0
37,19,3,2024-01-17,Ice Cream,Frozen Foods,4.5,13.5
38,20,4,2024-05-02,Pizza,Frozen Foods,6.0,24.0
39,16,6,2023-09-10,Tea,Beverages,4.0,24.0
40,6,2,2023-11-24,Banana,Produce,0.5,1.0
41,15,8,2024-05-15,Coffee,Beverages,5.0,40.0
42,8,4,2024-02-04,Chicken Breast,Meat,5.0,20.0
43,3,4,2024-04-02,Bread,Bakery,1.5,6.0
44,5,3,2024-05-15,Apple,Produce,0.75,2.25
45,19,2,2024-05-15,Ice Cream,Frozen Foods,4.5,9.0
46,2,8,2024-06-13,Eggs,Dairy,2.5,20.0
47,5,4,2024-05-02,Apple,Produce,0.75,3.0
48,7,9,2023-10-06,Orange Juice,Beverages,3.0,27.0
49,7,1,2024-08-06,Orange Juice,Beverages,3.0,3.0
50,4,1,2024-05-17,Butter,Dairy,4.0,4.0
51,12,6,2024-02-01,Tomato,Produce,1.0,6.0
52,7,6,2024-06-14,Orange Juice,Beverages,3.0,18.0
53,1,8,2023-09-30,Milk,Dairy,3.5,28.0
54,17,4,2024-05-28,Cookies,Snacks,2.5,10.0
55,19,5,2023-08-27,Ice Cream,Frozen Foods,4.5,22.5
56,8,5,2023-09-10,Chicken Breast,Meat,5.0,25.0
57,9,6,2024-02-02,Ground Beef,Meat,4.5,27.0
58,6,7,2023-11-09,Banana,Produce,0.5,3.5
59,19,2,2024-02-04,Ice Cream,Frozen Foods,4.5,9.0
60,3,1,2024-02-10,Bread,Bakery,1.5,1.5
61,9,1,2024-07-08,Ground Beef,Meat,4.5,4.5
62,11,2,2023-08-28,Lettuce,Produce,1.25,2.5
63,1,2,2024-07-18,Milk,Dairy,3.5,7.0
64,17,4,2024-05-24,Cookies,Snacks,2.5,10.0
65,1,4,2024-03-06,Milk,Dairy,3.5,14.0
66,13,5,2024-01-10,Cereal,Snacks,3.75,18.75
67,8,2,2023-12-19,Chicken Breast,Meat,5.0,10.0
68,20,6,2024-08-18,Pizza,Frozen Foods,6.0,36.0
69,17,8,2024-07-24,Cookies,Snacks,2.5,20.0
70,5,4,2024-06-21,Apple,Produce,0.75,3.0
71,4,2,2024-06-17,Butter,Dairy,4.0,8.0
72,4,1,2024-04-27,Butter,Dairy,4.0,4.0
73,4,2,2024-05-28,Butter,Dairy,4.0,8.0
74,2,3,2023-09-17,Eggs,Dairy,2.5,7.5
75,3,1,2024-04-14,Bread,Bakery,1.5,1.5
76,7,7,2024-02-05,Orange Juice,Beverages,3.0,21.0
77,7,4,2024-05-07,Orange Juice,Beverages,3.0,12.0
78,4,4,2024-04-11,Butter,Dairy,4.0,16.0
79,19,8,2024-07-14,Ice Cream,Frozen Foods,4.5,36.0
80,17,2,2023-09-17,Cookies,Snacks,2.5,5.0
81,17,3,2024-06-12,Cookies,Snacks,2.5,7.5
82,5,8,2024-05-25,Apple,Produce,0.75,6.0
83,18,9,2023-12-05,Chocolate,Snacks,3.0,27.0
84,17,7,2023-09-13,Cookies,Snacks,2.5,17.5
85,9,5,2024-01-10,Ground Beef,Meat,4.5,22.5
86,16,5,2023-12-12,Tea,Beverages,4.0,20.0
87,20,4,2023-10-01,Pizza,Frozen Foods,6.0,24.0
